word: በአለም
POS: noun, stem: አለም

word: አቀፍ
POS: verb, root: <qff>, citation: አቀፈፈ

word: ህግ

word: የተከለከለ
POS: verb, root: <klkl>, citation: ተከለከለ

word: መንግስት
POS: noun, stem: መንግስት

?word: ሞርከኛ

?word: ኢንዴት

?word: ሚያሰቃዩት

word: እዩና
?POS: noun, stem: እዩ

word: ፍረዱ
POS: verb, root: <frd>, citation: ፈረደ

word: እስቲ

?word: እረ

?word: ሼም

word: አብይ
POS: verb, root: <'by>, citation: አበየ

word: የዶክተር
POS: noun, stem: ዶክተር

word: አብይ
POS: verb, root: <'by>, citation: አበየ

word: ፖሊስ
POS: noun, stem: ፖሊስ

?word: ሚያረጉት

